bin_lo,bin_hi,n,mean_pred,observed_freq,gap
0.0,0.1,171,0.06548583362764776,0.07602339181286549,-0.010537558185217732
0.1,0.2,335,0.15369704939558704,0.1701492537313433,-0.016452204335756254
0.2,0.30000000000000004,431,0.2510069351776557,0.23201856148491878,0.018988373692736926
0.30000000000000004,0.4,495,0.3531412465610071,0.38585858585858585,-0.03271733929757875
0.4,0.5,527,0.45137741471322956,0.428842504743833,0.022534909969396555
0.5,0.6000000000000001,582,0.5510175330096969,0.563573883161512,-0.01255635015181511
0.6000000000000001,0.7000000000000001,507,0.6521288412413356,0.6646942800788954,-0.012565438837559784
0.7000000000000001,0.8,435,0.7479648624277665,0.7494252873563219,-0.0014604249285553594
0.8,0.9,351,0.8455199886746098,0.8689458689458689,-0.023425880271259136
0.9,1.0,166,0.9357697406351607,0.9216867469879518,0.014082993647208886
